variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
natspac,float64,38350,34040,3,1973-2022,"[2.0, 2.0, 2.0]"
librac,float64,38050,34340,2,1976-2022,"[2.0, 1.0]"
colmil,float64,37942,34448,2,1976-2021,"[5.0, 4.0]"
helpblk,float64,37759,34631,5,1975-2022,"[3.0, 3.0, 5.0, 4.0, 3.0]"
partners,float64,37688,34702,10,1988-2022,"[1.0, 1.0, 1.0, 1.0, 0.0]"
helpsick,float64,37660,34730,5,1975-2022,"[3.0, 5.0, 5.0, 1.0, 2.0]"
bible,float64,37570,34820,4,1984-2022,"[1.0, 2.0, 2.0, 1.0]"
helppoor,float64,37569,34821,5,1975-2022,"[3.0, 3.0, 3.0, 3.0, 1.0]"
spwrksta,float64,37502,34888,8,1972-2022,"[2.0, 1.0, 5.0, 7.0, 1.0]"
natrace,float64,37455,34935,3,1973-2022,"[1.0, 1.0, 2.0]"
spkmil,float64,37245,35145,2,1976-2021,"[2.0, 2.0]"
vetyears,float64,37085,35305,5,1974-2022,"[0.0, 0.0, 0.0, 0.0, 3.0]"
suicide2,float64,37068,35322,2,1977-2022,"[2.0, 2.0]"
suicide3,float64,37005,35385,2,1977-2022,"[2.0, 2.0]"
libmil,float64,36903,35487,2,1976-2021,"[1.0, 2.0]"
helpnot,float64,36775,35615,5,1975-2022,"[3.0, 5.0, 3.0, 4.0, 3.0]"
suicide4,float64,36581,35809,2,1977-2022,"[2.0, 2.0]"
spdeg,float64,36485,35905,5,1972-2022,"[1.0, 2.0, 3.0, 1.0, 1.0]"
speduc,float64,36341,36049,21,1972-2022,"[12.0, 12.0, 10.0, 14.0, 18.0]"
natcity,float64,36245,36145,3,1973-2022,"[2.0, 1.0, 1.0]"
suicide1,float64,36122,36268,2,1977-2022,"[2.0, 2.0]"
fepol,float64,35697,36693,2,1974-2022,"[2.0, 2.0]"
letdie1,float64,35537,36853,2,1977-2022,"[1.0, 1.0]"
fechld,float64,35450,36940,4,1977-2022,"[1.0, 2.0, 2.0, 3.0]"
whoelse6,float64,35219,37171,2,1994-2022,"[1.0, 1.0]"
whoelse5,float64,35218,37172,2,1994-2022,"[2.0, 2.0]"
whoelse1,float64,35218,37172,2,1994-2022,"[2.0, 2.0]"
whoelse4,float64,35218,37172,2,1994-2022,"[2.0, 2.0]"
whoelse3,float64,35218,37172,2,1994-2022,"[2.0, 1.0]"
whoelse2,float64,35218,37172,2,1994-2022,"[1.0, 2.0]"
spwrkslf,float64,35181,37209,2,1972-2022,"[2.0, 2.0]"
fefam,float64,35131,37259,4,1977-2022,"[3.0, 4.0, 4.0, 3.0]"
dwelown,float64,35106,37284,3,1985-2022,"[1.0, 2.0, 2.0]"
fepresch,float64,35105,37285,4,1977-2022,"[4.0, 3.0, 3.0, 3.0]"
prayer,float64,34885,37505,2,1974-2022,"[2.0, 2.0]"
nummen,float64,34877,37513,96,1989-2022,"[0.0, 5.0, 0.0, 0.0, 7.0]"
evstray,float64,34737,37653,3,1991-2022,"[2.0, 2.0, 3.0]"
numwomen,float64,34562,37828,141,1989-2022,"[0.0, 30.0, 20.0, 20.0, 0.0]"
sexfreq,float64,34519,37871,7,1989-2022,"[0.0, 3.0, 3.0, 2.0, 5.0]"
spocc10,float64,34307,38083,532,1972-2022,"[2330.0, 120.0, 6355.0, 5160.0, 4720.0]"
sppres105plus,float64,34301,38089,92,1972-2022,"[55.0, 26.0, 55.0, 54.0, 29.0]"
spsei10inc,float64,34301,38089,386,1972-2022,"[42.1, 46.9, 41.1, 54.7, 80.3]"
spsei10,float64,34301,38089,370,1972-2022,"[18.6, 43.0, 41.6, 77.4, 25.2]"
